№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
115,2013/5/16,2013/5/17,生産・出荷者Farmer,群馬県Gunma,ヤマトイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
116,2013/5/16,2013/5/17,製造者Manufacturer,東京都Tokyo,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<8)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
117,2013/5/16,2013/5/17,製造者Manufacturer,千葉県Chiba,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
118,2013/5/16,2013/5/17,製造者Manufacturer,新潟県Niigata,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
119,2013/5/16,2013/5/17,製造者Manufacturer,東京都Tokyo,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
120,2013/5/16,2013/5/17,製造者Manufacturer,埼玉県Saitama,プロセスチーズ,プロセスチーズProcessed cheese,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
121,2013/5/20,2013/5/23,製造者Manufacturer,栃木県Tochigi,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.7) ND,検出せず(<1.4) ND,―
122,2013/5/20,2013/5/23,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.9) ND,検出せず(<1.6) ND,―
123,2013/5/20,2013/5/23,製造者Manufacturer,千葉県Chiba,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.7) ND,検出せず(<1.4) ND,―
124,2013/5/20,2013/5/23,製造者Manufacturer,群馬県Gunma,はっ酵乳(ベビーフード),発酵乳Fermented milk,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<3) 　ND,検出せず(<6) 　ND,―
125,2013/5/20,2013/5/23,製造者Manufacturer,群馬県Gunma,はっ酵乳(ベビーフード),発酵乳Fermented milk,乳児用食品　Infant foods,Ge,検出せず(<4) 　ND,検出せず(<3) 　ND,検出せず(<7) 　ND,―
126,2013/5/20,2013/5/23,製造者Manufacturer,埼玉県Saitama,お茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.7) ND,検出せず(<0.4) ND,検出せず(<1.1) ND,―
127,2013/5/20,2013/5/23,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.5) ND,検出せず(<0.4) ND,検出せず(<0.9) ND,―
128,2013/5/20,2013/5/23,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.6) ND,検出せず(<1.2) ND,―
129,2013/5/20,2013/5/23,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.4) ND,検出せず(<0.4) ND,検出せず(<0.8) ND,―
130,2013/5/20,2013/5/23,製造者Manufacturer,山梨県Yamanashi,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.5) ND,検出せず(<0.3) ND,検出せず(<0.8) ND,―
131,2013/5/20,2013/5/23,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6) ND,検出せず(<0.5) ND,検出せず(<1.1) ND,―
132,2013/5/20,2013/5/23,製造者Manufacturer,神奈川県Kanagawa,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.9) ND,検出せず(<0.9) ND,検出せず(<1.8) ND,―
133,2013/5/20,2013/5/23,製造者Manufacturer,北海道Hokkaidou,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.8) ND,検出せず(<1.6) ND,―
134,2013/5/20,2013/5/23,製造者Manufacturer,東京都Tokyo,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.7) ND,検出せず(<1.4) ND,―
135,2013/5/20,2013/5/23,製造者Manufacturer,千葉県Chiba,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.5) ND,検出せず(<0.9) ND,検出せず(<1.4) ND,―
136,2013/5/20,2013/5/23,製造者Manufacturer,新潟県Niigata,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.8) ND,検出せず(<0.4) ND,検出せず(<1.2) ND,―
137,2013/5/20,2013/5/23,販売者　　　　Seller,大阪府Osaka,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.8) ND,検出せず(<0.4) ND,検出せず(<1.2) ND,―
138,2013/5/20,2013/5/23,販売者　　　　Seller,愛知県Aichi,ミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.8) ND,検出せず(<0.8) ND,検出せず(<1.6) ND,―
139,2013/5/20,2013/5/23,販売者　　　　Seller,東京都Tokyo,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.2) ND,検出せず(<0.7) ND,検出せず(<0.9) ND,―
140,2013/5/20,2013/5/23,販売者　　　　Seller,大阪府Osaka,緑茶(清涼飲料水),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.9) ND,検出せず(<0.6) ND,検出せず(<1.5) ND,―
141,2013/5/23,2013/5/24,製造者Manufacturer,東京都Tokyo,はちみつ,その他の農産物加工品Other processed farm product,一般食品　General foods,NaI,検出せず(<7) 　ND,検出せず(<7) 　ND,検出せず(<25) ND,―
142,2013/5/23,2013/5/24,製造者Manufacturer,群馬県Gunma,しょうゆ漬(大根、きゅうり、なす、ふきのとう),しょうゆ漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
143,2013/5/23,2013/5/24,製造者Manufacturer,群馬県Gunma,しょうゆ漬(白うり、みょうが),しょうゆ漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
144,2013/5/23,2013/5/24,製造者Manufacturer,長野県Nagano,ももジャム,その他の果実加工品Other fruit processed product,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<9)ND,検出せず(<25) ND,―
145,2013/5/23,2013/5/24,製造者Manufacturer,群馬県Gunma,きゅうり粕漬,かす漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
146,2013/5/23,2013/5/24,製造者Manufacturer,群馬県Gunma,しょうがみそ漬,みそ漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
147,2013/5/23,2013/5/24,販売者　　　　Seller,静岡県Shizuoka,スープ,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
148,2013/5/23,2013/5/24,販売者　　　　Seller,愛知県Aichi,スープ,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
149,2013/5/23,2013/5/24,製造者Manufacturer,兵庫県Hyogo,スープ,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
150,2013/5/23,2013/5/24,製造者Manufacturer,埼玉県Saitama,マヨネーズ,マヨネーズMayonnaise,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
151,2013/5/27,2013/5/30,製造者Manufacturer,兵庫県Hyogo,のり佃煮,その他のそうざい類Ready to eat food,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
152,2013/5/27,2013/5/30,販売者　　　　Seller,埼玉県Saitama,魚介類加工品,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
153,2013/5/27,2013/5/30,採取地　　Sampling point,三陸Sanriku,湯通し塩蔵ワカメ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<10 ),検出せず(<9)ND,検出せず(<25) ND,―
154,2013/5/27,2013/5/30,製造者Manufacturer,青森県Aomori,さば水煮,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
155,2013/5/27,2013/5/30,製造者Manufacturer,千葉県Chiba,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.8) ND,検出せず(<1.5) ND,―
156,2013/5/27,2013/5/30,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6) ND,検出せず(<1.0) ND,検出せず(<1.6) ND,―
157,2013/5/27,2013/5/30,製造者Manufacturer,北海道Hokkaidou,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6) ND,検出せず(<0.8) ND,検出せず(<1.4) ND,―
158,2013/5/27,2013/5/30,製造者Manufacturer,埼玉県Saitama,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.9) ND,検出せず(<0.6) ND,検出せず(<1.5) ND,―
159,2013/5/27,2013/5/30,製造者Manufacturer,埼玉県Saitama,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.7) ND,検出せず(<1.5) ND,―
160,2013/5/27,2013/5/30,製造者Manufacturer,北海道Hokkaidou,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.4) ND,検出せず(<0.8) ND,検出せず(<1.2) ND,―
161,2013/5/27,2013/5/30,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.6) ND,検出せず(<0.5) ND,検出せず(<1.1) ND,―
162,2013/5/27,2013/5/30,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.4) ND,検出せず(<0.9) ND,検出せず(<1.3) ND,―
163,2013/5/27,2013/5/30,生産・出荷者Farmer,茨城県Ibaraki,トマト,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
164,2013/5/27,2013/5/30,製造者Manufacturer,埼玉県Saitama,マヨネーズ,マヨネーズMayonnaise,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
165,2013/5/27,2013/5/30,製造者Manufacturer,青森県Aomori,ささみの燻製,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
166,2013/5/27,2013/5/30,生産・出荷者Farmer,千葉県Chiba,キャベツ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
167,2013/5/27,2013/5/30,製造者Manufacturer,栃木県Tochigi,そうざい(ハンバーグ),加熱済みそうざいReady to eat food,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
168,2013/5/27,2013/5/30,生産・出荷者Farmer,茨城県Ibaraki,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
169,2013/5/27,2013/5/30,生産・出荷者Farmer,千葉県Chiba,ニンジン,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
170,2013/5/27,2013/5/30,生産・出荷者Farmer,茨城県Ibaraki,メロン,うり科果実Cucurbitaceous fruit,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
171,2013/6/3,2013/6/7,製造者Manufacturer,東京都Tokyo,ラクトアイス,ラクトアイスLacto-ice,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
172,2013/6/3,2013/6/7,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
173,2013/6/3,2013/6/7,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
174,2013/6/3,2013/6/7,製造者Manufacturer,茨城県Ibaraki,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.8) ND,検出せず(<1.5) ND,―
175,2013/6/3,2013/6/7,製造者Manufacturer,群馬県Gunma,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,1.3,1.7,3,―
176,2013/6/3,2013/6/7,販売者　　　　Seller,東京都Tokyo,乳酸菌飲料,"乳主原（乳酸菌飲料）Food using milk, etc. as principal ingredients (Fermented milk drink)",一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
177,2013/6/3,2013/6/7,販売者　　　　Seller,東京都Tokyo,そうざい(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4) 　ND,検出せず(<3) 　ND,検出せず(<7) 　ND,―
178,2013/6/3,2013/6/7,販売者　　　　Seller,東京都Tokyo,グラタン(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4) 　ND,検出せず(<2) 　ND,検出せず(<6) 　ND,―
179,2013/6/3,2013/6/7,販売者　　　　Seller,東京都Tokyo,調理麺(ベビーフード),その他のめん類Other noodle,乳児用食品　Infant foods,Ge,検出せず(<3) 　ND,検出せず(<4) 　ND,検出せず(<7) 　ND,―
180,2013/6/3,2013/6/7,販売者　　　　Seller,東京都Tokyo,ボトルドウォーター(ベビーフード),ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.7) ND,検出せず(<0.6) ND,検出せず(<1.3) ND,―
181,2013/6/3,2013/6/7,加工者　Processor,神奈川県Kanagawa,豚肉,豚肉Pork,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
182,2013/6/3,2013/6/7,加工者　Processor,神奈川県Kanagawa,豚肉,豚肉Pork,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
183,2013/6/3,2013/6/7,選別包装者　Grading packager,青森県Aomori,鶏卵,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
184,2013/6/3,2013/6/7,選別包装者　Grading packager,秋田県Akita,鶏卵,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
185,2013/6/3,2013/6/7,選別包装者　Grading packager,神奈川県Kanagawa,鶏卵,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
186,2013/6/3,2013/6/7,製造者Manufacturer,秋田県Akita,米味噌,みそFermented bean (miso),一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
187,2013/6/3,2013/6/7,製造者Manufacturer,長野県Nagano,米味噌,みそFermented bean (miso),一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
188,2013/6/3,2013/6/7,販売者　　　　Seller,北海道Hokkaidou,えだ豆あん,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
189,2013/6/3,2013/6/7,製造者Manufacturer,山形県Yamagata,甘納豆,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
190,2013/6/3,2013/6/7,製造者Manufacturer,愛知県Aichi,洋菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
191,2013/6/6,2013/6/7,採取地　　Sampling point,三陸Sanriku,湯通し塩蔵わかめ,その他の食品Other food,一般食品　General foods,NaI,検出せず(<12 ),検出せず(<11) ND,検出せず(<25) ND,―
192,2013/6/6,2013/6/7,製造者Manufacturer,福島県Fukushima,魚肉練製品,魚肉ねり製品Fish-paste products,一般食品　General foods,NaI,検出せず(<9)　 ND,検出せず(<8)　 ND,検出せず(<25) ND,―
193,2013/6/6,2013/6/7,製造者Manufacturer,千葉県Chiba,いわし丸干し,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
194,2013/6/6,2013/6/7,製造者Manufacturer,千葉県Chiba,背黒めざし,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
195,2013/6/6,2013/6/7,販売者　　　　Seller,東京都Tokyo,乾燥ひじき,その他の魚介類加工品Other fish products,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
196,2013/6/6,2013/6/7,製造者Manufacturer,東京都Tokyo,ひたし豆,その他の豆類乾燥品Other dried bean,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
